questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Which of the following best describes an **AI agent**?,,,,,,2,,A system that only stores data in a database,"A system that perceives input, reasons, acts using tools, and can use memory",A Python variable that holds a single number,A CSV file used for logging,,,0,markdown,"B is correct — an AI agent perceives, reasons, acts (often with tools), and can remember.

A, C, and D describe storage or simple data — not an agent."
mcsc,markdown,"A one-shot tool call (ask once, get one answer, forget the turn) is mainly **tool use**. What is a beginner step toward **agent-like** behaviour?",,,,,,1,,Adding memory and a controlled loop,Deleting all stop rules,Never saving history,Always showing raw error logs to the user,,,0,markdown,"A is correct — memory plus a controlled loop moves from one-shot tool use toward agent behaviour.

B, C, and D work against safe, coherent agent control."
mcsc,markdown,Which of the following is an example of **long-term memory**?,,,,,,1,,"Storing facts in a database across many sessions (days, weeks, months)",Storing chat messages only in a Python list variable for the current run,Printing a traceback to the console,Setting `MAX_STEPS = 5`,,,0,markdown,"A is correct — long-term memory keeps information across sessions, typically in durable stores like a database or user profile.

B is short-term (current session / current run). C and D are error handling and loop control, not memory types."
mcsc,markdown,"If a **chat history** is kept for the current open chat / current session, which type of memory is that?",,,,,,2,,Long-term memory,Short-term memory,Both,None,,,0,markdown,"B is correct — short-term memory is the running chat history for the current session.

A is for facts kept across sessions. It is specifically short-term, not both or none."
mcsc,markdown,What does it mean to **persist** conversation history?,,,,,,2,,Keep messages only in a temporary Python list and never write a file,Write the history to durable storage (for example a JSON file) so it can be loaded later,Increase `MAX_STEPS` without any limit,Delete history after every message,,,0,markdown,"B is correct — persist means save to durable storage so the history can be reloaded.

A is only in-memory. C is loop control. D removes history instead of saving it."
mcsc,markdown,"On first run, the history JSON file does not exist. What should a safe load function return?",,,,,,1,,An empty list `[]`,A hard crash with no fallback,"The word `""error""` only",A random assistant message,,,0,markdown,"A is correct — treat missing file as a fresh start and return an empty list.

B is unsafe for first run. C and D are not valid history structures."
mcsc,markdown,"Without a **stop rule**, what can go wrong in an agent loop?",,,,,,1,,The loop may run forever and API cost can rise,Short-term memory automatically becomes long-term memory,The history file becomes permanently read-only,Python lists can no longer append messages,,,0,markdown,"A is correct — missing termination can cause runaway iterations and higher API cost.

B, C, and D are not effects of missing stop rules."
mcsc,markdown,Which option is a **hard ceiling** that stops a loop after a fixed number of steps?,,,,,,2,,"Hoping the model says ""I'm done""",`MAX_STEPS`,Saving history once a week,Using a Python list for messages,,,0,markdown,"B is correct — `MAX_STEPS` is a non-negotiable max on loop iterations.

A alone is unsafe. C is about persist timing. D is about memory storage, not loop stop."
mcsc,markdown,"When an API call fails, what should the **user** see?",,,,,,1,,"A short friendly message (for example, try again in a minute)",The full raw traceback with internal file paths,The exact `str(exception)` text only,No message at all,,,0,markdown,"A is correct — user-visible error handling shows a clear, friendly message.

B and C expose internal details. D leaves the user with no guidance."
mcsc,markdown,The user typed only spaces (blank input). Which response is appropriate?,,,,,,1,,"`""Please type a question.""`",A long stack trace,"`""Index is empty""` even when the index is fine",Start an infinite loop,,,0,markdown,"A is correct — blank input should ask the user to type a question.

B is not user-friendly. C is the wrong error for this case. D is unsafe."
