questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Which function is used in Python to take user input from the keyboard?,,,,,,2,,`print()`,`input()`,`read()`,`scan()`,,,69f3632acb73a35b4342c559,0,markdown,"The built-in `input()` function reads a line from standard input and returns it as a string. `print()` sends output to the console; `read()` and `scan()` are not standard Python keyboard-input functions."
mcsc,markdown,Which conditional block runs when all previous conditions are false?,,,,,,3,,`if`,`for`,`else`,`while`,,,69f3632acb73a35b4342c559,0,markdown,"An `else` block attached to `if`/`elif` runs only when none of the earlier conditions were true. `if` starts a branch; `for` and `while` are loops, not a final catch-all for failed conditions."
mcsc,markdown,Which loop is best suited when the number of iterations is known in advance?,,,,,,2,,`while`,`for`,`if`,`def`,,,69f3632acb73a35b4342c559,0,markdown,"A `for` loop iterates over a sequence or range, which maps naturally to a fixed or known iteration count. `while` is better when the stop condition is not simply counting steps; `if` and `def` are not loops."
mcsc,markdown,What is the correct way to access the first element of a Python list `nums`?,,,,,,3,,`nums(0)`,`nums[1]`,`nums[0]`,`nums.first()`,,,69f3632acb73a35b4342c559,0,markdown,"Python lists are zero-indexed: the first element is at index `0`, accessed with square brackets `nums[0]`. `nums[1]` is the second element. Function-call syntax `nums(0)` is invalid for lists; there is no standard `first()` method."
mcsc,markdown,Which Git command records staged changes to the local repository history?,,,,,,2,,`git push`,`git commit`,`git clone`,`git pull`,,,69f3632acb73a35b4342c559,0,markdown,"`git commit` creates a new commit from the staging area into the local repo history. `git push` uploads commits to a remote; `git clone` copies a repo; `git pull` fetches and merges remote changes."
mcsc,markdown,"In NumPy, which property is used to check the dimensions of an array?",,,,,,2,,`array.size`,`array.shape`,`array.type`,`array.index`,,,69f3632acb73a35b4342c559,0,markdown,"`shape` returns a tuple describing the size of each dimension (e.g. rows and columns). `size` is the total number of elements; `type` and `index` are not standard NumPy array attributes for this purpose."
mcsc,markdown,Which SQL clause is used to filter rows based on a condition?,,,,,,3,,`GROUP BY`,`ORDER BY`,`WHERE`,`LIMIT`,,,69f3632acb73a35b4342c559,0,markdown,"`WHERE` restricts which rows participate in the query before grouping. `GROUP BY` aggregates; `ORDER BY` sorts; `LIMIT` caps row count."
mcsc,markdown,"In Pandas, which function is commonly used to read a CSV file into a DataFrame?",,,,,,2,,`pd.load_csv()`,`pd.read_csv()`,`pd.open_csv()`,`pd.import_csv()`,,,69f3632acb73a35b4342c559,0,markdown,"`pandas.read_csv()` (often `pd.read_csv()`) loads CSV data into a DataFrame. The other names are not the standard Pandas API."
mcsc,markdown,Which Python data type stores key-value pairs?,,,,,,3,,List,Tuple,Dictionary,Set,,,69f3632acb73a35b4342c559,0,markdown,"A **dictionary** maps keys to values. Lists, tuples, and sets do not provide key-based lookup in the same way."
mcsc,markdown,Which SQL keyword removes duplicate values from query results?,,,,,,2,,`UNIQUE`,`DISTINCT`,`FILTER`,`GROUP`,,,69f3632acb73a35b4342c559,0,markdown,"`DISTINCT` deduplicates rows in the result set. `UNIQUE` is a constraint, not a row-dedup modifier in a SELECT list; `FILTER` is not the standard SQL keyword for this; `GROUP` alone does not mean remove duplicates without aggregation context."
